Train No.,train Name,stopNumber,station Code,Station Name,Arrival time,Departure time,Distance
1081,DR BSL T F SPL ,1,DR  ,DADAR          ,0:00:00,21:45:00,0
1081,DR BSL T F SPL ,2,TNA ,THANE          ,22:03:00,22:05:00,25
1081,DR BSL T F SPL ,3,KYN ,KALYAN JN      ,22:22:00,22:45:00,45
1081,DR BSL T F SPL ,4,IGP ,IGATPURI       ,0:05:00,0:10:00,128
1081,DR BSL T F SPL ,5,NK  ,NASIK ROAD     ,0:52:00,0:55:00,179
1081,DR BSL T F SPL ,6,CSN ,CHALISGAON JN  ,2:30:00,2:32:00,319
1081,DR BSL T F SPL ,7,JL  ,JALGAON JN     ,3:27:00,3:30:00,412
1081,DR BSL T F SPL ,8,BSL ,BHUSAVAL JN    ,5:00:00,0:00:00,436
1082,BSL DR T F SPL ,1,BSL ,BHUSAVAL JN    ,0:00:00,8:35:00,0
1082,BSL DR T F SPL ,2,JL  ,JALGAON JN     ,9:00:00,9:03:00,25
1082,BSL DR T F SPL ,3,CSN ,CHALISGAON JN  ,9:50:00,9:52:00,117
1082,BSL DR T F SPL ,4,NK  ,NASIK ROAD     ,11:20:00,11:25:00,258
1082,BSL DR T F SPL ,5,IGP ,IGATPURI       ,13:25:00,13:30:00,308
1082,BSL DR T F SPL ,6,KYN ,KALYAN JN      ,15:10:00,15:13:00,391
1082,BSL DR T F SPL ,7,TNA ,THANE          ,15:33:00,15:35:00,412
1082,BSL DR T F SPL ,8,DR  ,DADAR          ,16:20:00,0:00:00,436
10111,KONKAN KANYA EX,1,CSTM,MUMBAI CST     ,0:00:00,23:05:00,0
10111,KONKAN KANYA EX,2,DR  ,DADAR          ,23:18:00,23:20:00,9
10111,KONKAN KANYA EX,3,TNA ,THANE          ,23:43:00,23:45:00,34
10111,KONKAN KANYA EX,4,DIVA,DIVA           ,23:58:00,23:59:00,43
10111,KONKAN KANYA EX,5,PNVL,PANVEL         ,0:25:00,0:30:00,69
10111,KONKAN KANYA EX,6,MNI ,MANGAON        ,2:53:00,2:54:00,188
10111,KONKAN KANYA EX,7,KHED,KHED           ,4:01:00,4:02:00,284
10111,KONKAN KANYA EX,8,CHI ,CHIPLUN        ,4:39:00,4:40:00,325
10111,KONKAN KANYA EX,9,SGR ,SANGMESHWAR    ,5:33:00,5:34:00,384
10111,KONKAN KANYA EX,10,RN  ,RATNAGIRI      ,6:35:00,6:40:00,431
10111,KONKAN KANYA EX,11,VID ,VILAVADE       ,7:29:00,7:30:00,497
